batsman_runs,balls_faced,4s,6s,SR
16,6,0,2,266.67
14,8,2,1,175
16,12,0,1,133.33
52,37,3,2,140.54
40,31,5,0,129.03
62,27,7,3,229.63
6,2,0,1,300
32,21,2,3,152.38
31,16,4,1,193.75
24,16,5,0,150
0,2,0,0,0
22,17,1,1,129.41
11,10,0,1,110
1,3,0,0,33.33
30,22,3,0,136.36
6,3,0,1,200
3,7,0,0,42.86
10,12,0,0,83.33
35,15,1,4,233.33
38,19,3,3,200
27,17,3,1,158.82
3,5,0,0,60
34,28,1,2,121.43
19,14,4,0,135.71
3,7,0,0,42.86
7,3,0,1,233.33
60,34,6,3,176.47
21,14,3,0,150
6,5,1,0,120
12,12,1,0,100
84,54,7,3,155.56
15,8,0,2,187.5
35,24,4,2,145.83
14,12,3,0,116.67
47,25,6,2,188
68,51,7,0,133.33
93,41,6,8,226.83
76,48,12,0,158.33
19,15,1,1,126.67
50,32,2,3,156.25
17,8,2,1,212.5
0,4,0,0,0
40,23,3,2,173.91
5,11,0,0,45.45
26,27,3,0,96.3
24,22,1,1,109.09
30,27,1,2,111.11
44,20,3,4,220
28,27,2,1,103.7
14,9,1,1,155.56
14,9,3,0,155.56
6,8,1,0,75
5,7,0,0,71.43
69,37,5,5,186.49
12,10,3,0,120
10,8,0,1,125
24,24,4,0,100
16,18,1,0,88.89
0,3,0,0,0
9,5,0,1,180
8,14,0,0,57.14
18,17,3,0,105.88
4,5,0,0,80
1,5,0,0,20
4,3,1,0,133.33
6,6,1,0,100
57,36,3,4,158.33
0,2,0,0,0
13,12,1,0,108.33
25,19,1,1,131.58
1,1,0,0,100
3,5,0,0,60
5,10,0,0,50
13,8,0,1,162.5
37,27,4,1,137.04
1,2,0,0,50
31,21,5,0,147.62
30,32,2,0,93.75
7,7,0,0,100
5,8,0,0,62.5
76,45,6,4,168.89
52,39,6,0,133.33
9,9,0,1,100
32,24,3,1,133.33
9,8,0,0,112.5
19,13,3,0,146.15
81,47,5,5,172.34
4,3,1,0,133.33
17,15,2,0,113.33
1,2,0,0,50
6,11,0,0,54.55
29,11,3,2,263.64
1,1,0,0,100
28,22,1,2,127.27
17,17,1,1,100
11,6,2,0,183.33
50,29,5,3,172.41
30,27,3,1,111.11
2,6,0,0,33.33
